,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JOAO PAULO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLANILHA IMPORTAÇAO ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DI 17/1660795-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROCESSO Nº,,,,$ CAMBIO,"3,1674000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Embarque,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITEM,PREÇO UNITÁRIO EM MOEDA ESTRANGEIRA,QTDE,,VALOR ADUANEIRO       EM MOEDA EXTRANG,VALOR  ADUANEIRO  (VA )            EM REAIS,DESPESAS ADUANEIRAS (D),BC II,% II  (a),VALOR II,BC IPI,% IPI  (b),VALOR IPI,BC PIS COFINS,% PIS    ( c ),VALOR PIS,%COFINS  (d),COFINS,BC ICMS FINAL,% ICMS  (e),VALOR ICMS,VALOR UNITARIO REAL,VALOR TOTAL PRODUTO,% RATEIO DESPESAS ACESSÓRIAS,DESPESAS ACESSORIAS,TOTAL DESPESAS ACESSÓRIAS (IMPOSTOS),TOTAL DESPESAS SEM FRETE,TOTAL FRETE, ICMS FINAL,CLASSIFICAÇÃO FISCAL,MVA,BC ICMS st,Aliquota ICMS,valor ICMS ST,
"OBL-17-13-006 - ACABAMENTO AUTOMOTIVO EM ACO INOX TIPO FRISO DAS JANELAS COMPATIVEL COM? AUTMOVEL COROLLA,CONJUNTO? DE 4 PECAS. (SEM PINTURA E POLIMENTO NA PARTE TRASEIRA DAS PECAS, 3 QUALID.)?","4,5000","5,0000",10,=B20*C20,=E20*$F$6,"=(1668,46*F20/($F$40))",=F20+G20,"18,00%",=(F20+G20)*I20,=F20+G20+J20,"5,00%",=(F20+G20+J20)*L20,=F20+G20,"2,10%",=O20*(F20+G20),"10,65%",=Q20*(F20+G20),"=((W20+Y20+R20+P20+M20+J20+G20)/0,82)","18,00%","=((F20+G20+J20+M20+P20+R20+Y20)/0,82)*T20",=W20/C20,=F20,=W20*100/$W$40,=$O$49*X20%,=G20+P20+R20+U20+Y20,=Z20-G20,=Z20-AA20,=S20*18%,,,,,,10
"OBL-00-00-01ZF - ACABAMENTO AUTOMOTIVO EM ACO INOX TIPO FRISO DAS JANELAS COMPATIVEL COM? AUTMOVEL JETTA,CONJUNTO? DE 6 PECAS. (SEM PINTURA E POLIMENTO NA PARTE TRASEIRA DAS PECAS, 3 QUALID.)?","4,5000","5,0000",11,=B21*C21,=E21*$F$6,"=(1668,46*F21/($F$40))",=F21+G21,"18,00%",=(F21+G21)*I21,=F21+G21+J21,"5,00%",=(F21+G21+J21)*L21,=F21+G21,"2,10%",=O21*(F21+G21),"10,65%",=Q21*(F21+G21),"=((W21+Y21+R21+P21+M21+J21+G21)/0,82)","18,00%","=((F21+G21+J21+M21+P21+R21+Y21)/0,82)*T21",=W21/C21,=F21,=W21*100/$W$40,=$O$49*X21%,=G21+P21+R21+U21+Y21,=Z21-G21,=Z21-AA21,=S21*18%,,,,,,11
"OBL-14-35-22 - ACABAMENTO AUTOMOTIVO TIPO MOLDURAS LATERAIS TIPO FRISO PARTE DE BAIXO, EM PLASTICO ABS CROMADO, PAR,? COMPATIVEL COM AUTOMOVEL HRV.? (SEM PINTURA E POLIMENTO NA PARTE TRASEIRA DAS PECAS, 3 QUALID.)?","8,0000","5,0000",12,=B22*C22,=E22*$F$6,"=(1668,46*F22/($F$40))",=F22+G22,"18,00%",=(F22+G22)*I22,=F22+G22+J22,"5,00%",=(F22+G22+J22)*L22,=F22+G22,"2,10%",=O22*(F22+G22),"10,65%",=Q22*(F22+G22),"=((W22+Y22+R22+P22+M22+J22+G22)/0,82)","18,00%","=((F22+G22+J22+M22+P22+R22+Y22)/0,82)*T22",=W22/C22,=F22,=W22*100/$W$40,=$O$49*X22%,=G22+P22+R22+U22+Y22,=Z22-G22,=Z22-AA22,=S22*18%,,,,,,12
"OBL-14-17-21 - ACABAMENTO AUTOMOTIVO TIPO MOLDURA EM VOLTA DAS MACANETAS INTERNAS, EM PLASTICO ABS (CONJUNTO DE 4 PECAS,UMA PARA CADA PORTA ) COMPATIVEL COM AUTOMOVEL COROLLA. (SEM PINTURA E POLIMENTO NA PARTE TRASEIRA DAS PECAS, 3 QUALID.)","2,1000","10,0000",13,=B23*C23,=E23*$F$6,"=(1668,46*F23/($F$40))",=F23+G23,"18,00%",=(F23+G23)*I23,=F23+G23+J23,"5,00%",=(F23+G23+J23)*L23,=F23+G23,"2,10%",=O23*(F23+G23),"10,65%",=Q23*(F23+G23),"=((W23+Y23+R23+P23+M23+J23+G23)/0,82)","18,00%","=((F23+G23+J23+M23+P23+R23+Y23)/0,82)*T23",=W23/C23,=F23,=W23*100/$W$40,=$O$49*X23%,=G23+P23+R23+U23+Y23,=Z23-G23,=Z23-AA23,=S23*18%,,,,,,13
"OBL-16-37-19T - ACABAMENTO AUTOMOTIVO DO ENTORNO DO PAINEL DA ALAVANCA DE CAMBIO, EM PLASTICO ABS PINTADO,COMPATIVEL COM AUTOMOVEL JEEP COMPASS. (SEM PINTURA E POLIMENTO NA PARTE TRASEIRA DAS PECAS, 3 QUALID.)","2,5000","15,0000",14,=B24*C24,=E24*$F$6,"=(1668,46*F24/($F$40))",=F24+G24,"18,00%",=(F24+G24)*I24,=F24+G24+J24,"5,00%",=(F24+G24+J24)*L24,=F24+G24,"2,10%",=O24*(F24+G24),"10,65%",=Q24*(F24+G24),"=((W24+Y24+R24+P24+M24+J24+G24)/0,82)","18,00%","=((F24+G24+J24+M24+P24+R24+Y24)/0,82)*T24",=W24/C24,=F24,=W24*100/$W$40,=$O$49*X24%,=G24+P24+R24+U24+Y24,=Z24-G24,=Z24-AA24,=S24*18%,,,,,,14
"OBL-14-23-19E - ACABAMENTO AUTOMOTIVO TIPO MOLDURA EM VOLTA DO PORTA COPOS NO CONSOLE CENTRAL, EM PLASTICO ABS PINTADO COMPATIVEL COM AUTOMOVEL HYUNDAI CRETA.? (SEM PINTURA E POLIMENTO NA PARTE TRASEIRA DAS PECAS, 3 QUALID.)?","2,0000","20,0000",15,=B25*C25,=E25*$F$6,"=(1668,46*F25/($F$40))",=F25+G25,"18,00%",=(F25+G25)*I25,=F25+G25+J25,"5,00%",=(F25+G25+J25)*L25,=F25+G25,"2,10%",=O25*(F25+G25),"10,65%",=Q25*(F25+G25),"=((W25+Y25+R25+P25+M25+J25+G25)/0,82)","18,00%","=((F25+G25+J25+M25+P25+R25+Y25)/0,82)*T25",=W25/C25,=F25,=W25*100/$W$40,=$O$49*X25%,=G25+P25+R25+U25+Y25,=Z25-G25,=Z25-AA25,=S25*18%,,,,,,15
"OBL-16-37-32 - ACABAMENTO AUTOMOTIVO EM? ACO INOX? TIPO FRISO DO PORTA MALA (PARTE PROXAO PARACHOQUE) COMPATIVEL COM O O AUTOMOVEL JEEP COMPASS (SEM PINTURA E POLIMENTO NA PARTE TRASEIRA DAS PECAS, 3 QUALID.)?","3,0000","15,0000",16,=B26*C26,=E26*$F$6,"=(1668,46*F26/($F$40))",=F26+G26,"18,00%",=(F26+G26)*I26,=F26+G26+J26,"5,00%",=(F26+G26+J26)*L26,=F26+G26,"2,10%",=O26*(F26+G26),"10,65%",=Q26*(F26+G26),"=((W26+Y26+R26+P26+M26+J26+G26)/0,82)","18,00%","=((F26+G26+J26+M26+P26+R26+Y26)/0,82)*T26",=W26/C26,=F26,=W26*100/$W$40,=$O$49*X26%,=G26+P26+R26+U26+Y26,=Z26-G26,=Z26-AA26,=S26*18%,,,,,,16
"OBL-16.08.19BQH - ACABAMENTO AUTOMOTIVO TIPO MOLDURA DOS COMANDOS/BOTOES INTERNOS DE ACIONAMENTO DOS VIDROS, EM PLASTICO ABS PINTADO (CONJUNTO DE 4 PECAS,UMA PARA CADA PORTA ) COMPATIVEL COM AUTOMOVEL HONDA CIVIC.? (SEM PINTURA E POLIMENTO NA PARTE TRASEIRA DAS PECAS, 3 QUALID.)?","3,3500","5,0000",17,=B27*C27,=E27*$F$6,"=(1668,46*F27/($F$40))",=F27+G27,"18,00%",=(F27+G27)*I27,=F27+G27+J27,"5,00%",=(F27+G27+J27)*L27,=F27+G27,"2,10%",=O27*(F27+G27),"10,65%",=Q27*(F27+G27),"=((W27+Y27+R27+P27+M27+J27+G27)/0,82)","18,00%","=((F27+G27+J27+M27+P27+R27+Y27)/0,82)*T27",=W27/C27,=F27,=W27*100/$W$40,=$O$49*X27%,=G27+P27+R27+U27+Y27,=Z27-G27,=Z27-AA27,=S27*18%,,,,,,17
"OBL-15-27-07LS - ACABAMENTO AUTOMOTIVO TIPO MOLDURA PARA AS MACANETAS EXTERNAS,DIANTEIRAS E TRASEIRAS, CONJUNTO DE 8 PCS, EM PLASTICO ABS CROMADO, COMPATIVEL COM O AUTOMOVEL RENAULT KICKS. (SEM PINTURA E POLIMENTO NA PARTE TRASEIRA DAS PECAS, 3 QUALID.)","1,6000","10,0000",18,=B28*C28,=E28*$F$6,"=(1668,46*F28/($F$40))",=F28+G28,"18,00%",=(F28+G28)*I28,=F28+G28+J28,"5,00%",=(F28+G28+J28)*L28,=F28+G28,"2,10%",=O28*(F28+G28),"10,65%",=Q28*(F28+G28),"=((W28+Y28+R28+P28+M28+J28+G28)/0,82)","18,00%","=((F28+G28+J28+M28+P28+R28+Y28)/0,82)*T28",=W28/C28,=F28,=W28*100/$W$40,=$O$49*X28%,=G28+P28+R28+U28+Y28,=Z28-G28,=Z28-AA28,=S28*18%,,,,,,18
"OBL-17-14-19SBK - ACABAMENTO AUTOMOTIVO TIPO MOLDURA EM VOLTA DO PORTA COPOS NO CONSOLE CENTRAL, EM PLASTICO ABS PINTADO COMPATIVEL COM AUTOMOVEL RENAULT KICKS.? (SEM PINTURA E POLIMENTO NA PARTE TRASEIRA DAS PECAS, 3 QUALID.)?","3,1500","5,0000",19,=B29*C29,=E29*$F$6,"=(1668,46*F29/($F$40))",=F29+G29,"18,00%",=(F29+G29)*I29,=F29+G29+J29,"5,00%",=(F29+G29+J29)*L29,=F29+G29,"2,10%",=O29*(F29+G29),"10,65%",=Q29*(F29+G29),"=((W29+Y29+R29+P29+M29+J29+G29)/0,82)","18,00%","=((F29+G29+J29+M29+P29+R29+Y29)/0,82)*T29",=W29/C29,=F29,=W29*100/$W$40,=$O$49*X29%,=G29+P29+R29+U29+Y29,=Z29-G29,=Z29-AA29,=S29*18%,,,,,,19
