,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JOAO PAULO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLANILHA IMPORTAÇAO ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DI 17/1660795-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROCESSO Nº,,,,$ CAMBIO,"3,1674000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Embarque,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITEM,PREÇO UNITÁRIO EM MOEDA ESTRANGEIRA,QTDE,,VALOR ADUANEIRO       EM MOEDA EXTRANG,VALOR  ADUANEIRO  (VA )            EM REAIS,DESPESAS ADUANEIRAS (D),BC II,% II  (a),VALOR II,BC IPI,% IPI  (b),VALOR IPI,BC PIS COFINS,% PIS    ( c ),VALOR PIS,%COFINS  (d),COFINS,BC ICMS FINAL,% ICMS  (e),VALOR ICMS,VALOR UNITARIO REAL,VALOR TOTAL PRODUTO,% RATEIO DESPESAS ACESSÓRIAS,DESPESAS ACESSORIAS,TOTAL DESPESAS ACESSÓRIAS (IMPOSTOS),TOTAL DESPESAS SEM FRETE,TOTAL FRETE, ICMS FINAL,CLASSIFICAÇÃO FISCAL,MVA,BC ICMS st,Aliquota ICMS,valor ICMS ST,
"OBL-17-14-19NLS - ACABAMENTO AUTOMOTIVO TIPO MOLDURA EM VOLTA DAS MACANETAS INTERNAS, EM PLASTICO ABS? PINTADO (CONJUNTO DE 4 PECAS,UMA PARA CADA PORTA ) COMPATIVEL COM AUTOMOVEL RENAULT KICKS.? (SEM PINTURA E POLIMENTO NA PARTE TRASEIRA DAS PECAS, 3 QUALID.)?","2,9000","5,0000",20,=B30*C30,=E30*$F$6,"=(1668,46*F30/($F$40))",=F30+G30,"18,00%",=(F30+G30)*I30,=F30+G30+J30,"5,00%",=(F30+G30+J30)*L30,=F30+G30,"2,10%",=O30*(F30+G30),"10,65%",=Q30*(F30+G30),"=((W30+Y30+R30+P30+M30+J30+G30)/0,82)","18,00%","=((F30+G30+J30+M30+P30+R30+Y30)/0,82)*T30",=W30/C30,=F30,=W30*100/$W$40,=$O$49*X30%,=G30+P30+R30+U30+Y30,=Z30-G30,=Z30-AA30,=S30*18%,,,,,,20
"OBL-14-26-27 - ACABAMENTO AUTOMOTIVO INTERNO EM PLASTICO ABS PINTADO PARA AS SAIDAS DE AR/VENTO INTERNAS DO PAINEL (CONJUNTO DE 5 PECAS) COMPATIVEL COM AUTOMOVEL? HRV.? (SEM PINTURA E POLIMENTO NA PARTE TRASEIRA DAS PECAS, 3 QUALID.)?","3,5500","5,0000",21,=B31*C31,=E31*$F$6,"=(1668,46*F31/($F$40))",=F31+G31,"18,00%",=(F31+G31)*I31,=F31+G31+J31,"5,00%",=(F31+G31+J31)*L31,=F31+G31,"2,10%",=O31*(F31+G31),"10,65%",=Q31*(F31+G31),"=((W31+Y31+R31+P31+M31+J31+G31)/0,82)","18,00%","=((F31+G31+J31+M31+P31+R31+Y31)/0,82)*T31",=W31/C31,=F31,=W31*100/$W$40,=$O$49*X31%,=G31+P31+R31+U31+Y31,=Z31-G31,=Z31-AA31,=S31*18%,,,,,,21
"OBL-16-37-19NLS - ACABAMENTO AUTOMOTIVO TIPO MOLDURA EM VOLTA DAS MACANETAS INTERNAS, EM PLASTICO ABS? (CONJUNTO DE 4 PECAS,UMA PARA CADA PORTA ) COMPATIVEL COM AUTOMOVEL JEEP COMPASS. (SEM PINTURA E POLIMENTO NA PARTE TRASEIRA DAS PECAS, 3 QUALID.)?","2,9000","10,0000",22,=B32*C32,=E32*$F$6,"=(1668,46*F32/($F$40))",=F32+G32,"18,00%",=(F32+G32)*I32,=F32+G32+J32,"5,00%",=(F32+G32+J32)*L32,=F32+G32,"2,10%",=O32*(F32+G32),"10,65%",=Q32*(F32+G32),"=((W32+Y32+R32+P32+M32+J32+G32)/0,82)","18,00%","=((F32+G32+J32+M32+P32+R32+Y32)/0,82)*T32",=W32/C32,=F32,=W32*100/$W$40,=$O$49*X32%,=G32+P32+R32+U32+Y32,=Z32-G32,=Z32-AA32,=S32*18%,,,,,,22
,,,23,=B33*C33,=E33*$F$6,"=(1414,44*F33/($F$40))",=F33+G33,"18,00%",=(F33+G33)*I33,=F33+G33+J33,"5,00%",=(F33+G33+J33)*L33,=F33+G33,"2,10%",=O33*(F33+G33),"9,65%",=Q33*(F33+G33),"=((W33+Y33+R33+P33+M33+J33+G33)/0,82)","18,00%","=((F33+G33+J33+M33+P33+R33+Y33)/0,82)*T33",=W33/C33,=F33,=W33*100/$W$40,=$O$49*X33%,=G33+P33+R33+U33+Y33,=Z33-G33,=Z33-AA33,=S33*18%,,,,,,23
,,,24,=B34*C34,=E34*$F$6,"=(1414,44*F34/($F$40))",=F34+G34,"18,00%",=(F34+G34)*I34,=F34+G34+J34,"5,00%",=(F34+G34+J34)*L34,=F34+G34,"2,10%",=O34*(F34+G34),"9,65%",=Q34*(F34+G34),"=((W34+Y34+R34+P34+M34+J34+G34)/0,82)","18,00%","=((F34+G34+J34+M34+P34+R34+Y34)/0,82)*T34",=W34/C34,=F34,=W34*100/$W$40,=$O$49*X34%,=G34+P34+R34+U34+Y34,=Z34-G34,=Z34-AA34,=S34*18%,,,,,,24
,,,25,=B35*C35,=E35*$F$6,"=(1414,44*F35/($F$40))",=F35+G35,"18,00%",=(F35+G35)*I35,=F35+G35+J35,"5,00%",=(F35+G35+J35)*L35,=F35+G35,"2,10%",=O35*(F35+G35),"9,65%",=Q35*(F35+G35),"=((W35+Y35+R35+P35+M35+J35+G35)/0,82)","18,00%","=((F35+G35+J35+M35+P35+R35+Y35)/0,82)*T35",=W35/C35,=F35,=W35*100/$W$40,=$O$49*X35%,=G35+P35+R35+U35+Y35,=Z35-G35,=Z35-AA35,=S35*18%,,,,,,25
,,,26,=B36*C36,=E36*$F$6,"=(1414,44*F36/($F$40))",=F36+G36,"18,00%",=(F36+G36)*I36,=F36+G36+J36,"5,00%",=(F36+G36+J36)*L36,=F36+G36,"2,10%",=O36*(F36+G36),"9,65%",=Q36*(F36+G36),"=((W36+Y36+R36+P36+M36+J36+G36)/0,82)","18,00%","=((F36+G36+J36+M36+P36+R36+Y36)/0,82)*T36",=W36/C36,=F36,=W36*100/$W$40,=$O$49*X36%,=G36+P36+R36+U36+Y36,=Z36-G36,=Z36-AA36,=S36*18%,,,,,,26
,,,27,=B37*C37,=E37*$F$6,"=(1414,44*F37/($F$40))",=F37+G37,"18,00%",=(F37+G37)*I37,=F37+G37+J37,"5,00%",=(F37+G37+J37)*L37,=F37+G37,"2,10%",=O37*(F37+G37),"9,65%",=Q37*(F37+G37),"=((W37+Y37+R37+P37+M37+J37+G37)/0,82)","18,00%","=((F37+G37+J37+M37+P37+R37+Y37)/0,82)*T37",=W37/C37,=F37,=W37*100/$W$40,=$O$49*X37%,=G37+P37+R37+U37+Y37,=Z37-G37,=Z37-AA37,=S37*18%,,,,,,27
,,,28,=B38*C38,=E38*$F$6,"=(1414,44*F38/($F$40))",=F38+G38,"18,00%",=(F38+G38)*I38,=F38+G38+J38,"5,00%",=(F38+G38+J38)*L38,=F38+G38,"2,10%",=O38*(F38+G38),"9,65%",=Q38*(F38+G38),"=((W38+Y38+R38+P38+M38+J38+G38)/0,82)","18,00%","=((F38+G38+J38+M38+P38+R38+Y38)/0,82)*T38",=W38/C38,=F38,=W38*100/$W$40,=$O$49*X38%,=G38+P38+R38+U38+Y38,=Z38-G38,=Z38-AA38,=S38*18%,,,,,,28
,,,,=B39*C39,=E39*$F$6,"=(1414,44*F39/($F$40))",=F39+G39,"18,00%",=(F39+G39)*I39,=F39+G39+J39,"5,00%",=(F39+G39+J39)*L39,=F39+G39,"2,10%",=O39*(F39+G39),"9,65%",=Q39*(F39+G39),"=((W39+Y39+R39+P39+M39+J39+G39)/0,82)","18,00%","=((F39+G39+J39+M39+P39+R39+Y39)/0,82)*T39",=W39/C39,=F39,=W39*100/$W$40,=$O$49*X39%,=G39+P39+R39+U39+Y39,=Z39-G39,=Z39-AA39,=S39*18%,,,,,,29
,,=SOMA(C11:C39),,=ARREDONDAR.PARA.BAIXO(SOMA(E11:E39);2),=ARREDONDAR.PARA.BAIXO(SOMA(F11:F39);2),=ARREDONDAR.PARA.BAIXO(SOMA(G11:G39);2),,,=ARREDONDAR.PARA.BAIXO(SOMA(J11:J39);2),,,=ARREDONDAR.PARA.BAIXO(SOMA(M11:M39);2),=ARREDONDAR.PARA.BAIXO(SOMA(N11:N39);2),,=ARREDONDAR.PARA.BAIXO(SOMA(P11:P39);2),,=ARREDONDAR.PARA.BAIXO(SOMA(R11:R39);2),=ARREDONDAR.PARA.BAIXO(SOMA(S11:S39);2),,=ARREDONDAR.PARA.BAIXO(SOMA(U11:U39);2),"0,00",=ARREDONDAR.PARA.BAIXO(SOMA(W11:W39);2),=ARREDONDAR.PARA.BAIXO(SOMA(X11:X39);2),=ARREDONDAR.PARA.BAIXO(SOMA(Y11:Y39);2),=ARREDONDAR.PARA.BAIXO(SOMA(Z11:Z39);2),=ARREDONDAR.PARA.BAIXO(SOMA(AA11:AA39);2),=ARREDONDAR.PARA.BAIXO(SOMA(AB11:AB39);2),=ARREDONDAR.PARA.BAIXO(SOMA(AC11:AC39);2),,,=SOMA(AF11:AF39),,=SOMA(AH11:AH39),
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,II,=J40,,,1a nota fiscal,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,IPI,=M40,,,VLR PRODUTOS,=F40,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,PIS,=P40,,,BC ICMS,=S40,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,COFINS,=R40,,,VLR ICMS,=AC40,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,ICMS,=U40,,,IPI,=O43,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,=SOMA(O42:O46),,,DESP. ACESS,=O44+O45+O46+O49+G40,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,TOTAL NF,=S43+O42+S46+S47,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,DESP. ACESS,"214,50",,,,,,,,,,,,,,,,,,,,
